"scenario","template","ALR_mult","P_atom_mult","d50_um","d90_um","pore_um","porosity","rho_tap","f_cr","solv_ret"
"baseline","BA",1,1,11.5194857163577,23.4306375753451,1.15075635128344,0.0875666022118501,455.128315339479,0.997221264259596,6.00094340688084e-05
"low_ALR","BA",0.7,1,11.6647237476523,23.6932422034947,1.15075635128344,0.0877897554394234,456.656527311505,0.997221264259596,6.00094340688084e-05
"low_pressure","BA",1,0.7,12.3438078893317,25.0152150106846,1.15075635128344,0.0884009992132759,465.515270229594,0.997221264259596,6.00094340688084e-05
"low_ALR+pressure","BA",0.7,0.7,12.5728909232249,25.4699522135491,1.15075635128344,0.0885473253938381,468.575431221319,0.997221264259596,6.00094340688084e-05
"BB_baseline","BB",1,1,11.5194858571092,23.430637861051,1.15075647425153,0.0875668108103205,455.12840380088,0.997220782873611,6.00198300557686e-05
