"output","factor","module","mu_star","sigma"
"skin","mdot_gas_dry","up2",0.6969,0.5056
"skin","mu_L","up2",0.3379,0.3272
"skin","T_dryer_in","up2",0.3176,0.4069
"skin","C_solid_mass","up1",0.2871,0.3369
"skin","T_mix","up1",0.2221,0.3177
"skin","ionic_strength","up1",0.096,0.1554
"skin","Delta_pH","up1",0.0865,0.133
"skin","mdot_L","up2",0.0757,0.1735
"skin","Q_template","up1",0.0719,0.1101
"skin","Q_colloid","up1",0.0675,0.1129
"skin","C_surfactant","up1",0.0547,0.1118
"skin","MW_surfactant","up1",0.0328,0.081
"skin","v_tip","up1",0.0204,0.0305
"skin","C_plasticizer","up1",0.0133,0.0137
"skin","C_monomer","up1",0.013,0.016
"skin","Y_in","up2",0.0118,0.032
"skin","A_molecule","up1",0.0106,0.0193
"skin","C_binder","up1",0.0049,0.0067
"skin","template_dose","up1",0.0032,0.0044
"skin","HLB","up1",0.0028,0.015
"skin","tau_mix","up1",0.0027,0.0046
"skin","Q_gas","up1",0.001,0.0028
"skin","D_template","up1",8e-04,0.0022
"skin","D_particle","up1",5e-04,0.001
"skin","P_mix","up1",1e-04,5e-04
"skin","C_gas_diss_temp","up1",1e-04,2e-04
"skin","D_b","up2",0,0
"skin","CMC","up1",0,0
"skin","D_surf","up1",0,0
"skin","C_temp_mass","up1",0,0
"skin","ALR","up2",0,0
"skin","P_atom_air","up2",0,0
"skin","P_feed","up2",0,0
"skin","sigma","up2",0,0
"skin","t_hold","up2",0,0
"skin","Tg_polymer","up2",0,0
"skin","n_flow","up2",0,0
"skin","k_perm_mono","up2",0,0
"skin","k_perm_plast","up2",0,0
"skin","k_perm_bind","up2",0,0
"skin","T_bp_solv","up2",0,0
"tapped density","Delta_pH","up1",154.7051,188.9799
"tapped density","ionic_strength","up1",150.518,206.7969
"tapped density","v_tip","up1",124.4691,185.1581
"tapped density","C_surfactant","up1",103.5424,175.0031
"tapped density","C_solid_mass","up1",71.8986,130.7894
"tapped density","MW_surfactant","up1",53.4878,117.2658
"tapped density","A_molecule","up1",28.7004,84.3245
"tapped density","Q_gas","up1",27.3096,87.6023
"tapped density","Q_template","up1",22.2019,61.4517
"tapped density","HLB","up1",9.4218,51.6047
"tapped density","Q_colloid","up1",8.5103,30.3356
"tapped density","P_mix","up1",4.2192,16.0559
"tapped density","D_particle","up1",3.9022,11.4835
"tapped density","tau_mix","up1",3.655,15.5289
"tapped density","CMC","up1",1e-04,3e-04
"tapped density","D_surf","up1",0,2e-04
"tapped density","C_monomer","up1",0,1e-04
"tapped density","C_binder","up1",0,1e-04
"tapped density","T_mix","up1",0,0
"tapped density","C_gas_diss_temp","up1",0,0
"tapped density","C_plasticizer","up1",0,0
"tapped density","C_temp_mass","up1",0,0
"tapped density","D_template","up1",0,0
"tapped density","template_dose","up1",0,0
"tapped density","ALR","up2",0,0
"tapped density","P_atom_air","up2",0,0
"tapped density","P_feed","up2",0,0
"tapped density","mdot_L","up2",0,0
"tapped density","sigma","up2",0,0
"tapped density","mu_L","up2",0,0
"tapped density","T_dryer_in","up2",0,0
"tapped density","mdot_gas_dry","up2",0,0
"tapped density","Y_in","up2",0,0
"tapped density","t_hold","up2",0,0
"tapped density","D_b","up2",0,0
"tapped density","Tg_polymer","up2",0,0
"tapped density","n_flow","up2",0,0
"tapped density","k_perm_mono","up2",0,0
"tapped density","k_perm_plast","up2",0,0
"tapped density","k_perm_bind","up2",0,0
"tapped density","T_bp_solv","up2",0,0
