"template","up1_Mixing_Potential","up1_Blended_Porosity","up1_Blended_Size_um","up1_Blended_WetSkin","up1_Template_Target_Score","up1_Residual_Template_Fraction","up2_d_droplet_um","up2_d10_um","up2_d90_um","up2_d99_um","up2_span","up2_BI_bimodal","up2_D_particle_um","up2_Dp90_um","up2_theta_skin_z","up2_Omega_struct_z","up2_phi_porosity_z","up2_rho_tapped","up2_Tg_product_K","up2_X_moisture","up2_Perm_shell_rel","up2_D_pore_um","up2_solv_retained","up2_f_burst_solv","up2_f_cr_solv","up2_f_esc_solv","up2_sigma_y_cake_MPa","up2_alpha_g_nucl","up2_D_b_nucl_um"
"rigid",387.859541485839,0.0498960326002317,348929.61391658,0.0920369724814543,0.117716804547647,0,21.1022605811829,5.19925589186597,58.781617410231,99.0524951797806,2.5391763745987,0.166401225988282,10.3416981780148,28.4149165035642,0.915005130509701,0.932132514016136,0.142949019469638,407.683920210075,280.785753252958,0.000910208286482133,1.2829770599646,1.17156089212483,0.0317761762670861,0.0136665484165195,0,0.968223823732914,0.340106227847354,0.319087307361365,8.47819957648581
"gas",1764.80671459771,5.04914696275662e-05,355256.038825703,0.0920031626966302,5.23055083779811e-05,0,22.9715258570246,4.90565803648177,64.6645363032542,108.681100186604,2.6014326883949,0.230847176843008,10.4448641186985,28.6258763988732,0.903134188011138,0.945178706505413,0.260599170703784,357.620779591213,276.805013245343,0.000856707854518331,1.2829770599646,1.13717169835745,0.036819955166847,0.0103235559629153,0,0.963180044833153,0.363482307780032,0.318039171450313,8.46890634866631
"surface_weld",387.859541485839,0.0498960326002317,348929.61391658,0.0920369724814543,0.0886605134617517,0.0395137504364972,18.6860683973253,4.51750157409202,52.1156129009838,87.7874289767052,2.5472512630696,0.174648478304145,8.79312960737042,24.1867922907438,0.906464948742886,0.932913677535646,0.155245394739686,373.42451206822,276.837218057662,0.00080683890490303,1.32106715531338,0.981450578938017,0.00138192363083367,0.0120670248065791,0.957789329860469,0.998618076369166,0.349352810891508,0.319087307361365,8.47819957648581
"capillary_bridge",387.859541485839,0.0498960326002317,348929.61391658,0.0920369724814543,0.100759123551914,0.0221277769069447,18.6644248964297,4.51093214540728,52.058622450959,87.6917656267426,2.54750363696698,0.174800790092849,8.78279407648264,24.16023505701,0.906388110883018,0.932717404300841,0.155522715439804,373.149470671127,276.853447205511,0.000805955482045167,1.30417021676811,0.981694890693783,0.000841549356892957,0.0121638420318637,0.974239621215351,0.999158450643107,0.350927251906292,0.319087307361365,8.47819957648581
