"Fg_g","alpha_floor_th","alpha_g_feed","phi_porosity","theta_skin","Cs_cake"
50,0.6536,0.134831709410182,0.229614407940575,0.940581436755323,0.362597878652078
100,0.3268,0.134831709410182,0.234905250893346,0.943267965075562,0.375384865227788
150,0.217866666666667,0.134831709410182,0.238086142482735,0.944796943015984,0.383072804945333
200,0.1634,0.134831709410182,0.240379961604764,0.945862852117192,0.388622783911252
300,0.108933333333333,0.108933333333333,0.232001076038206,0.947338658966461,0.396581838237433
430,0.076,0.076,0.218156804528104,0.948623159388599,0.403785
