"D_seed_um","D_agg_um","d_ratio","phi_struct_est","Dp50_um","Dp90_um","phi_porosity","theta_skin","rho_tapped"
10,20,0.041,0.236007878780428,32.4157222416374,66.0310925505084,0.244948123105885,0.986429725400699,510.995125765085
15,25,0.0328,0.242333911168947,39.6646900714408,80.7970284555066,0.246465436253551,0.986429725400699,529.10990863315
20,30,0.0273333333333333,0.247003594281891,46.9778505820339,95.6937086085168,0.247585470288717,0.986429725400699,542.498560124674
25,35,0.0234285714285714,0.250632869885723,54.3324704615987,110.674827772999,0.248455960234388,0.986429725400699,552.759289702821
30,40,0.0205,0.253558344720858,61.7161518826978,125.715133711909,0.249157641977051,0.986429725400699,560.855625547651
35,45,0.0182222222222222,0.255981558393689,69.1213777374283,140.799315786067,0.249738855246218,0.986429725400699,567.397295966315
40,50,0.0164,0.258031525120785,76.5432381735571,155.917373986098,0.250230544392949,0.986429725400699,572.787015963089
45,55,0.0149090909090909,0.259795171642052,83.9783447078522,171.062407061974,0.250653558992022,0.986429725400699,577.30067860333
