"output","factor","module","group","mu","mu.star","sigma","sigma_mu_ratio","interaction_type"
"up1_Blended_Porosity","Q_colloid","up1","Process",-0.00906404225259389,0.0286749489184364,0.0522808625678961,1.82322426158822,"Volatile"
"up1_Blended_Porosity","Q_template","up1","Process",-0.140246066916413,0.140246066916413,0.196922779988289,1.404123369147,"Volatile"
"up1_Blended_Porosity","C_solid_mass","up1","Polymer",0.108868290867163,0.108868290867163,0.125315186381055,1.15107149550056,"Volatile"
"up1_Blended_Porosity","C_temp_mass","up1","Polymer",-5.73945388340227e-08,5.76134404892451e-08,3.13967669423353e-07,5.44955598480467,"Volatile"
"up1_Blended_Porosity","D_particle","up1","Polymer",-1.93802496224121e-08,1.95337867930921e-06,5.89813947461895e-06,3.01945523266629,"Volatile"
"up1_Blended_Porosity","D_template","up1","Polymer",1.31359048676065e-09,1.39915946768358e-09,7.41842454967546e-09,5.30205792907742,"Volatile"
"up1_Blended_Porosity","C_binder","up1","Polymer",4.00087155709207e-07,9.32597174126687e-07,1.87130056174497e-06,2.00654753591475,"Volatile"
"up1_Blended_Porosity","C_monomer","up1","Polymer",-1.81462980768999e-06,2.65540248066589e-06,1.21837746900173e-05,4.58829679445128,"Volatile"
"up1_Blended_Porosity","C_plasticizer","up1","Polymer",0.000459942089264296,0.000460075178881046,0.00216778092533169,4.71179716889744,"Volatile"
"up1_Blended_Porosity","C_surfactant","up1","Surface",-0.0376290993106193,0.0376640436362172,0.0645685405883086,1.71432842453009,"Volatile"
"up1_Blended_Porosity","CMC","up1","Surface",-0.00306038578795454,0.00306933140759755,0.0101799653660633,3.31667194388484,"Volatile"
"up1_Blended_Porosity","HLB","up1","Surface",0.00464940583200666,0.00478804290226887,0.0118104876327265,2.46666286702025,"Volatile"
"up1_Blended_Porosity","MW_surfactant","up1","Surface",0.00925708081175687,0.00969294511010387,0.0244168538539616,2.51903354208718,"Volatile"
"up1_Blended_Porosity","A_molecule","up1","Surface",-0.00703604389786784,0.00748286988579057,0.0155971659249704,2.08438288558087,"Volatile"
"up1_Blended_Porosity","D_surf","up1","Surface",-7.31766032253769e-08,6.15313166536772e-07,1.29994053695288e-06,2.11264866030653,"Volatile"
"up1_Blended_Porosity","ionic_strength","up1","Surface",0.0484640447100675,0.0484640447100675,0.0681617126858885,1.40643879588798,"Volatile"
"up1_Blended_Porosity","Delta_pH","up1","Surface",-0.114535190863813,0.114535190863813,0.139355246077489,1.21670243901884,"Volatile"
"up1_Blended_Porosity","template_dose","up1","Polymer",0,0,0,0,"No_interaction"
"up1_Blended_Porosity","chi_template","up1","Polymer",0,0,0,0,"No_interaction"
"up1_Blended_Porosity","ALR","up2","Process",0,0,0,0,"No_interaction"
"up1_Blended_Porosity","P_atom_air","up2","Process",0,0,0,0,"No_interaction"
"up1_Blended_Porosity","P_feed","up2","Process",0,0,0,0,"No_interaction"
"up1_Blended_Porosity","mdot_L","up2","Process",0,0,0,0,"No_interaction"
"up1_Blended_Porosity","sigma","up2","Surface",0,0,0,0,"No_interaction"
"up1_Blended_Porosity","mu_L","up2","Polymer",0,0,0,0,"No_interaction"
"up1_Blended_Porosity","T_dryer_in","up2","Process",0,0,0,0,"No_interaction"
"up1_Blended_Porosity","mdot_gas_dry","up2","Process",0,0,0,0,"No_interaction"
"up1_Blended_Porosity","Y_in","up2","Process",0,0,0,0,"No_interaction"
"up1_Blended_Porosity","t_hold","up2","Process",0,0,0,0,"No_interaction"
"up1_Blended_Porosity","D_b","up2","Process",0,0,0,0,"No_interaction"
"up1_Blended_Porosity","Tg_polymer","up2","Polymer",0,0,0,0,"No_interaction"
"up1_Blended_Porosity","n_flow","up2","Polymer",0,0,0,0,"No_interaction"
"up1_Blended_Porosity","k_perm_mono","up2","Polymer",0,0,0,0,"No_interaction"
"up1_Blended_Porosity","k_perm_plast","up2","Polymer",0,0,0,0,"No_interaction"
"up1_Blended_Porosity","k_perm_bind","up2","Polymer",0,0,0,0,"No_interaction"
"up1_Blended_Porosity","T_bp_solv","up2","Polymer",0,0,0,0,"No_interaction"
"up1_Blended_Size_um","v_tip","up1","Process",-33913.9393700634,101119.06534383,195149.750464992,1.9299006552467,"Volatile"
"up1_Blended_Size_um","tau_mix","up1","Process",8846.30223337432,42861.6136623296,97209.1714210968,2.26797740717196,"Volatile"
"up1_Blended_Size_um","P_mix","up1","Process",-1625.88810822692,1625.88814573301,7117.58266030063,4.37765825341679,"Volatile"
"up1_Blended_Size_um","T_mix","up1","Process",3.07027423706168,3.11754139455006,9.59148719741769,3.07661903517466,"Volatile"
"up1_Blended_Size_um","C_gas_diss_temp","up1","Process",-651.979673095256,689.864625285746,3679.24536838194,5.33328602964382,"Volatile"
"up1_Blended_Size_um","Q_gas","up1","Process",19901.3772323886,33071.1569645968,71837.8970296867,2.17222206972046,"Volatile"
"up1_Blended_Size_um","Q_colloid","up1","Process",18971.5602935445,43516.6992926038,109375.090076732,2.51340501128773,"Volatile"
"up1_Blended_Size_um","Q_template","up1","Process",-64510.7912351351,117289.64377136,189700.265378016,1.61736585838569,"Volatile"
"up1_Blended_Size_um","C_solid_mass","up1","Polymer",137487.81846469,190279.509686868,230867.681457425,1.21330815828436,"Volatile"
"up1_Blended_Size_um","C_temp_mass","up1","Polymer",5676.89780326067,7814.27682259318,9413.72887016178,1.20468331028972,"Volatile"
"up1_Blended_Size_um","D_particle","up1","Polymer",2125.85895784511,2125.85895784511,3280.0000793657,1.54290578274793,"Volatile"
"up1_Blended_Size_um","D_template","up1","Polymer",1127.69308913368,1127.69308913368,2200.08056778802,1.95095685961698,"Volatile"
"up1_Blended_Size_um","C_binder","up1","Polymer",-2065.45245518942,2065.45245518942,2606.40790317662,1.26190651187736,"Volatile"
"up1_Blended_Size_um","C_monomer","up1","Polymer",-2224.44300314019,2224.44300314019,2993.42325015349,1.34569563972992,"Volatile"
"up1_Blended_Size_um","C_plasticizer","up1","Polymer",-2767.33416361346,3286.87599904549,3690.7967282198,1.12288894661423,"Volatile"
"up1_Blended_Size_um","C_surfactant","up1","Surface",-2841.67484191009,117531.844461282,228805.782049704,1.9467556482114,"Volatile"
"up1_Blended_Size_um","CMC","up1","Surface",176.502142734341,176.512884673547,503.167462498253,2.85059905643057,"Volatile"
"up1_Blended_Size_um","HLB","up1","Surface",-1794.95573432429,4919.2527759555,13250.6212640012,2.69362479780832,"Volatile"
"up1_Blended_Size_um","MW_surfactant","up1","Surface",23462.234863327,59916.64593368,135343.278259748,2.25885938958525,"Volatile"
"up1_Blended_Size_um","A_molecule","up1","Surface",15637.6748585725,22184.2065012269,88718.7146298177,3.99918359148483,"Volatile"
"up1_Blended_Size_um","D_surf","up1","Surface",-55.8890038064517,55.8899814905726,100.008985356679,1.78939020356535,"Volatile"
"up1_Blended_Size_um","ionic_strength","up1","Surface",-38595.273858234,171270.457184385,251616.898479307,1.46912025935928,"Volatile"
"up1_Blended_Size_um","Delta_pH","up1","Surface",115424.611183935,180961.86651498,252775.60844595,1.39684461325461,"Volatile"
"up1_Blended_Size_um","template_dose","up1","Polymer",0,0,0,0,"No_interaction"
"up1_Blended_Size_um","chi_template","up1","Polymer",0,0,0,0,"No_interaction"
"up1_Blended_Size_um","ALR","up2","Process",0,0,0,0,"No_interaction"
"up1_Blended_Size_um","P_atom_air","up2","Process",0,0,0,0,"No_interaction"
"up1_Blended_Size_um","P_feed","up2","Process",0,0,0,0,"No_interaction"
"up1_Blended_Size_um","mdot_L","up2","Process",0,0,0,0,"No_interaction"
"up1_Blended_Size_um","sigma","up2","Surface",0,0,0,0,"No_interaction"
"up1_Blended_Size_um","mu_L","up2","Polymer",0,0,0,0,"No_interaction"
"up1_Blended_Size_um","T_dryer_in","up2","Process",0,0,0,0,"No_interaction"
"up1_Blended_Size_um","mdot_gas_dry","up2","Process",0,0,0,0,"No_interaction"
"up1_Blended_Size_um","Y_in","up2","Process",0,0,0,0,"No_interaction"
"up1_Blended_Size_um","t_hold","up2","Process",0,0,0,0,"No_interaction"
"up1_Blended_Size_um","D_b","up2","Process",0,0,0,0,"No_interaction"
"up1_Blended_Size_um","Tg_polymer","up2","Polymer",0,0,0,0,"No_interaction"
"up1_Blended_Size_um","n_flow","up2","Polymer",0,0,0,0,"No_interaction"
"up1_Blended_Size_um","k_perm_mono","up2","Polymer",0,0,0,0,"No_interaction"
"up1_Blended_Size_um","k_perm_plast","up2","Polymer",0,0,0,0,"No_interaction"
"up1_Blended_Size_um","k_perm_bind","up2","Polymer",0,0,0,0,"No_interaction"
"up1_Blended_Size_um","T_bp_solv","up2","Polymer",0,0,0,0,"No_interaction"
"up1_Blended_WetSkin","v_tip","up1","Process",0.0740358993621238,0.0740358993621238,0.0669634695279719,0.904472966559651,"Complex"
"up1_Blended_WetSkin","tau_mix","up1","Process",0.00984553463443105,0.0102523589474151,0.0186143437391866,1.81561568753694,"Volatile"
"up1_Blended_WetSkin","P_mix","up1","Process",1.45419073394247e-05,1.45419073394247e-05,3.62883861021771e-05,2.49543510731879,"Volatile"
"up1_Blended_WetSkin","T_mix","up1","Process",-1.27366882017978e-07,1.27392626697052e-07,5.8412703978793e-07,4.58524998606885,"Volatile"
"up1_Blended_WetSkin","C_gas_diss_temp","up1","Process",-9.20748165821229e-06,9.21565165438147e-06,4.96836496406354e-05,5.39122478842979,"Volatile"
"up1_Blended_WetSkin","Q_gas","up1","Process",-0.00167171049516673,0.00167171049516673,0.00259676161745191,1.55335605355095,"Volatile"
"up1_Blended_WetSkin","Q_colloid","up1","Process",0.00324796512410621,0.00324796512410621,0.00591249227907645,1.82036815456985,"Volatile"
"up1_Blended_WetSkin","Q_template","up1","Process",-0.00525953373256714,0.00543765424731222,0.0098988124244255,1.82041961004019,"Volatile"
"up1_Blended_WetSkin","C_solid_mass","up1","Polymer",0.000644500312500833,0.000644500312500833,0.00235968720593852,3.66126619362262,"Volatile"
"up1_Blended_WetSkin","C_temp_mass","up1","Polymer",4.22437509593291e-08,4.22477626294919e-08,2.31335391726228e-07,5.47568385466974,"Volatile"
"up1_Blended_WetSkin","D_particle","up1","Polymer",6.20725484054852e-08,1.50707298839402e-06,3.03457553268599e-06,2.01355578399672,"Volatile"
"up1_Blended_WetSkin","D_template","up1","Polymer",-5.75065699746913e-10,6.86495023848044e-10,2.89720680544604e-09,4.22028813727765,"Volatile"
"up1_Blended_WetSkin","C_binder","up1","Polymer",-3.07110947489282e-07,1.8042600502356e-06,4.71747019326569e-06,2.61462874636595,"Volatile"
"up1_Blended_WetSkin","C_monomer","up1","Polymer",0.00737473248586161,0.00737473248586161,0.00763174577958261,1.03485052430223,"Volatile"
"up1_Blended_WetSkin","C_plasticizer","up1","Polymer",0.00713548367813328,0.00713548367813328,0.00832338716218031,1.1664783408709,"Volatile"
"up1_Blended_WetSkin","C_surfactant","up1","Surface",-0.000104131735517739,0.000104149875177285,0.00023132955377449,2.22112175728217,"Volatile"
"up1_Blended_WetSkin","CMC","up1","Surface",-6.03716547840145e-06,7.02358122253925e-06,2.01493928138087e-05,2.8688203603523,"Volatile"
"up1_Blended_WetSkin","HLB","up1","Surface",2.57925883108986e-05,2.66776333824907e-05,0.000122098593263706,4.57681502377354,"Volatile"
"up1_Blended_WetSkin","MW_surfactant","up1","Surface",3.24962096118281e-05,3.35627322694913e-05,7.7265065230336e-05,2.30210891681695,"Volatile"
"up1_Blended_WetSkin","A_molecule","up1","Surface",-2.73753401769275e-05,2.79746539424172e-05,9.04042580576074e-05,3.23164884340285,"Volatile"
