"output","factor","kind","mu","mu.star","sigma"
"up2_d10_um","k_perm_bind","material:binder perm",0,0,0
"up2_d90_um","C_monomer","dose:monomer",0.237369697732419,0.250344718161506,0.307145333611008
"up2_d90_um","C_plasticizer","dose:plasticizer",0.310071956911644,0.322641090964945,0.441528566011639
"up2_d90_um","C_binder","dose:binder",-0.0029761546892523,0.00850356517240627,0.0107373038226506
"up2_d90_um","template_dose","dose:solvent(amount)",-81.0714548932617,83.935435817932,84.793609347513
"up2_d90_um","T_bp_solv","solvent(bp/type)",156.630824168637,156.630824168637,106.462553412247
"up2_d90_um","k_perm_mono","material:monomer perm",0,0,0
"up2_d90_um","k_perm_plast","material:plast perm",0,0,0
"up2_d90_um","k_perm_bind","material:binder perm",0,0,0
"up2_d99_um","C_monomer","dose:monomer",0.378770047423414,0.399487089254123,0.490052992796762
"up2_d99_um","C_plasticizer","dose:plasticizer",0.494751403210883,0.514820331052262,0.704438864887227
"up2_d99_um","C_binder","dose:binder",-0.00475086492159704,0.0135739374300812,0.017139401135467
"up2_d99_um","template_dose","dose:solvent(amount)",-129.377926619586,133.950932190644,135.323757538111
"up2_d99_um","T_bp_solv","solvent(bp/type)",249.97945266382,249.97945266382,169.90441088669
"up2_d99_um","k_perm_mono","material:monomer perm",0,0,0
"up2_d99_um","k_perm_plast","material:plast perm",0,0,0
"up2_d99_um","k_perm_bind","material:binder perm",0,0,0
"up2_span","C_monomer","dose:monomer",-7.41424450099754e-05,7.43475133571536e-05,0.000135171908805258
"up2_span","C_plasticizer","dose:plasticizer",-0.000111852712531987,0.000112068026541085,0.000201346955418122
"up2_span","C_binder","dose:binder",3.28031789748051e-07,8.71088868897862e-07,1.07575396064862e-06
"up2_span","template_dose","dose:solvent(amount)",0.0197855513128933,0.0198041071370045,0.0201441554910898
"up2_span","T_bp_solv","solvent(bp/type)",-0.0304377549568971,0.0304377549568971,0.0249637565785943
"up2_span","k_perm_mono","material:monomer perm",0,0,0
"up2_span","k_perm_plast","material:plast perm",0,0,0
"up2_span","k_perm_bind","material:binder perm",0,0,0
"up2_BI_bimodal","C_monomer","dose:monomer",-9.81006659741939e-05,9.83864635348747e-05,0.00017551522677898
"up2_BI_bimodal","C_plasticizer","dose:plasticizer",-0.000147275073673565,0.000147575162047562,0.000262001541359404
"up2_BI_bimodal","C_binder","dose:binder",4.47209251315788e-07,1.19956902791896e-06,1.48586444206146e-06
"up2_BI_bimodal","template_dose","dose:solvent(amount)",0.0265227094498951,0.0265485699273145,0.0268988058583848
"up2_BI_bimodal","T_bp_solv","solvent(bp/type)",-0.0411395295380665,0.0411395295380665,0.033403545932696
"up2_BI_bimodal","k_perm_mono","material:monomer perm",0,0,0
"up2_BI_bimodal","k_perm_plast","material:plast perm",0,0,0
"up2_BI_bimodal","k_perm_bind","material:binder perm",0,0,0
"up2_D_particle_um","C_monomer","dose:monomer",-0.0182697651360849,0.0182697651360849,0.0100372230784407
"up2_D_particle_um","C_plasticizer","dose:plasticizer",-0.0259432195571619,0.0259432195571619,0.0136091418279791
"up2_D_particle_um","C_binder","dose:binder",0.0175451158682136,0.0175581999160408,0.0120559574360902
"up2_D_particle_um","template_dose","dose:solvent(amount)",-0.104006956236427,0.110345952952507,0.143214634995915
"up2_D_particle_um","T_bp_solv","solvent(bp/type)",0.267034495434465,0.267034495434465,0.163076718974887
"up2_D_particle_um","k_perm_mono","material:monomer perm",-0.0179311253909373,0.0179311253909373,0.0107426700194075
"up2_D_particle_um","k_perm_plast","material:plast perm",-0.0239143794302205,0.0239143794302205,0.0124796379946124
"up2_D_particle_um","k_perm_bind","material:binder perm",0.0194392279157344,0.0194392279157344,0.00897984394174721
"up2_Dp90_um","C_monomer","dose:monomer",-0.0373962761686621,0.0373962761686621,0.0202264061030908
"up2_Dp90_um","C_plasticizer","dose:plasticizer",-0.0531861451079311,0.0531861451079311,0.0278246030890713
"up2_Dp90_um","C_binder","dose:binder",0.0355924215998921,0.0356185559022669,0.0244385922659016
"up2_Dp90_um","template_dose","dose:solvent(amount)",-0.126875283595273,0.180018757776712,0.248329831219761
"up2_Dp90_um","T_bp_solv","solvent(bp/type)",0.411892498144804,0.411892498144804,0.254851998935579
"up2_Dp90_um","k_perm_mono","material:monomer perm",-0.036364825801444,0.036364825801444,0.0217700285529423
"up2_Dp90_um","k_perm_plast","material:plast perm",-0.0485055124126758,0.0485055124126758,0.0252940454362044
"up2_Dp90_um","k_perm_bind","material:binder perm",0.0394230085761312,0.0394230085761312,0.0181996384770848
"up2_theta_skin_z","C_monomer","dose:monomer",0.00394794983630847,0.00394794983630847,0.000791799883697905
"up2_theta_skin_z","C_plasticizer","dose:plasticizer",0.00473862788528123,0.00473862788528123,0.000726156628075408
"up2_theta_skin_z","C_binder","dose:binder",0.00252662075981471,0.00252662075981471,0.00068430085629178
"up2_theta_skin_z","template_dose","dose:solvent(amount)",0.000945616260766861,0.000945616260766861,7.74313086332155e-05
"up2_theta_skin_z","T_bp_solv","solvent(bp/type)",0,0,0
"up2_theta_skin_z","k_perm_mono","material:monomer perm",0,0,0
"up2_theta_skin_z","k_perm_plast","material:plast perm",0,0,0
"up2_theta_skin_z","k_perm_bind","material:binder perm",0,0,0
"up2_Omega_struct_z","C_monomer","dose:monomer",0.0108032544873869,0.0108488148236354,0.00516502247431252
"up2_Omega_struct_z","C_plasticizer","dose:plasticizer",0.0171324739604616,0.0171324739604616,0.00858882730249307
"up2_Omega_struct_z","C_binder","dose:binder",-0.00852655080116134,0.00871440713229169,0.00835931228611011
"up2_Omega_struct_z","template_dose","dose:solvent(amount)",-0.00910810284531002,0.00918923246799269,0.0103855237408532
"up2_Omega_struct_z","T_bp_solv","solvent(bp/type)",0.00833227277200105,0.00833227277200105,0.0119622919747264
"up2_Omega_struct_z","k_perm_mono","material:monomer perm",0.0115040115437432,0.0115040115437432,0.00947270131690909
"up2_Omega_struct_z","k_perm_plast","material:plast perm",0.0155883190368613,0.0155883190368613,0.0110264212754156
"up2_Omega_struct_z","k_perm_bind","material:binder perm",-0.0122529272679481,0.0122529272679481,0.00945980682027606
"up2_phi_porosity_z","C_monomer","dose:monomer",-0.0193140287595264,0.0193140287595264,0.0102424485621823
"up2_phi_porosity_z","C_plasticizer","dose:plasticizer",-0.0272279247902201,0.0272279247902201,0.0139624126961935
"up2_phi_porosity_z","C_binder","dose:binder",0.0182631171757754,0.0182766684877881,0.0122491672648832
"up2_phi_porosity_z","template_dose","dose:solvent(amount)",0.0463149100794807,0.0463149100794807,0.0068038666044728
