"output","group","factor","mu","mu.star","sigma"
"Aggregate_Destruction","additive","C_binder",-0.0042639830684756,0.0042639830684756,0.0114252497461963
"Aggregate_Destruction","additive","chi_parameter",0,0,0
"Aggregate_Destruction","additive","S_base",0,0,0
"Aggregate_Destruction","additive","S_ceiling",0,0,0
"Heavy_Solid_Yield","process","rpm",0.0262020873532816,0.0262020873532816,0.055844070736396
"Heavy_Solid_Yield","process","delta_rpm",0,0,0
"Heavy_Solid_Yield","process","r_pool",0.00226965459568752,0.00226965459568752,0.0041207013471708
"Heavy_Solid_Yield","process","flow_rate_lpm",-0.0243752949422392,0.0243752949422392,0.03164756619102
"Heavy_Solid_Yield","process","feed_solid_frac",-0.0548742803662688,0.0548742803662688,0.0986295571316318
"Heavy_Solid_Yield","process","feed_gas_frac",-0.0136796420667661,0.0137475068537133,0.0213217103196649
"Heavy_Solid_Yield","process","pop_frac",-0.000669703176481562,0.000671197124915294,0.00165766757169459
"Heavy_Solid_Yield","process","T_process",0.0180270661526121,0.0180270661526121,0.0287511667456965
"Heavy_Solid_Yield","process","P_feed",0,0,0
"Heavy_Solid_Yield","process","gas_sat_frac",0,0,0
"Heavy_Solid_Yield","process","D_b",-2.8966106380568e-05,3.71172123233269e-05,8.82600109040202e-05
"Heavy_Solid_Yield","surface","HLB_value",-0.000343671287805614,0.000344316692767666,0.00088851932818728
"Heavy_Solid_Yield","surface","surf_dose_kg_m3",0,0,0
"Heavy_Solid_Yield","surface","t_recover_sec",-1.3968311692499e-10,1.39699947906043e-10,6.98357999527541e-10
"Heavy_Solid_Yield","surface","I_strength",-2.53626668911637e-05,2.55315507515119e-05,7.20942962164794e-05
"Heavy_Solid_Yield","surface","Delta_pH",3.12845374515813e-05,3.16714394968276e-05,0.000123590146659733
"Heavy_Solid_Yield","surface","contact_angle_deg",-0.00116367445746439,0.00202672573240843,0.00512976419892315
"Heavy_Solid_Yield","additive","plasticizer_frac",0.0153078644285702,0.0153078644285702,0.0218073587715131
"Heavy_Solid_Yield","additive","C_monomer",0,0,0
"Heavy_Solid_Yield","additive","C_binder",1.33544786456182e-05,1.33594942000344e-05,3.75730910453406e-05
"Heavy_Solid_Yield","additive","chi_parameter",0,0,0
"Heavy_Solid_Yield","additive","S_base",0,0,0
"Heavy_Solid_Yield","additive","S_ceiling",0,0,0
"Yield_Loss_Centrate","process","rpm",-0.0262418611927504,0.0262418611927504,0.0559276752902663
"Yield_Loss_Centrate","process","delta_rpm",0,0,0
"Yield_Loss_Centrate","process","r_pool",-0.00226843943463516,0.00226843943463516,0.00411773141205803
"Yield_Loss_Centrate","process","flow_rate_lpm",0.0244313552509352,0.0244313552509352,0.0316766953936044
"Yield_Loss_Centrate","process","feed_solid_frac",0.0545978701800217,0.0545978701800217,0.0986194453501991
"Yield_Loss_Centrate","process","feed_gas_frac",0.0128708313896966,0.0129386961766439,0.0197068806243571
"Yield_Loss_Centrate","process","pop_frac",0.000570426720443828,0.000571920668877561,0.00136345602975878
"Yield_Loss_Centrate","process","T_process",-0.0180292526807079,0.0180292526807079,0.0287705596689194
"Yield_Loss_Centrate","process","P_feed",0,0,0
"Yield_Loss_Centrate","process","gas_sat_frac",0,0,0
"Yield_Loss_Centrate","process","D_b",3.8055300237542e-05,4.14737645646923e-05,9.60532454910841e-05
"Yield_Loss_Centrate","surface","HLB_value",0.000319056405923239,0.00031970181088529,0.000842371117153802
"Yield_Loss_Centrate","surface","surf_dose_kg_m3",0,0,0
"Yield_Loss_Centrate","surface","t_recover_sec",1.39685603824565e-10,1.39697461006468e-10,6.98357480779745e-10
"Yield_Loss_Centrate","surface","I_strength",2.49605268943058e-05,2.5129410754654e-05,7.09436900253467e-05
"Yield_Loss_Centrate","surface","Delta_pH",-3.12717643811504e-05,3.16586664263966e-05,0.000123593033263005
"Yield_Loss_Centrate","surface","contact_angle_deg",0.00120103768957461,0.0018599585003985,0.00477325823255184
