"output","factor","type","mu","mu.star","sigma","sigma_mu_ratio","interaction_type"
"d10_um","T_bp_solv","Process",2.26601430206035,2.26601430206035,4.70626603213211,2.07689158354075,"Volatile"
"d90_um","ALR","Process",-45.455334939572,45.455334939572,68.7113668821346,1.51162381651084,"Volatile"
"d90_um","P_system","Process",-9.53629514338765,15.7669919615598,25.2058403807133,1.5986461109491,"Volatile"
"d90_um","P_feed","Process",-28.7257391932357,28.7257391932357,45.480363194225,1.58326171828973,"Volatile"
"d90_um","mdot_L","Process",2.64527664943608,2.64527664943608,1.47210065773338,0.556501588613502,"Complex"
"d90_um","sigma","Surface",6.64909778465663,13.0336004999621,16.3231491834012,1.25238986598129,"Volatile"
"d90_um","mu_L","Process",148.939543726173,148.939543726173,330.572778474939,2.21950981052219,"Volatile"
"d90_um","rho_L","Process",21.2949224696942,22.069561928963,61.3617229789047,2.78037793302895,"Volatile"
"d90_um","alpha_g_0","Process",-19.942855309913,24.5260383537409,37.8479575803732,1.54317452474343,"Volatile"
"d90_um","D_b","Process",1.5984341263306,1.61795120346679,4.33744174429076,2.68082358417046,"Volatile"
"d90_um","C_solid_mass","Process",59.550535809122,59.550535809122,123.611758882765,2.07574553617753,"Volatile"
"d90_um","T_system","Process",0,0,0,0,"No_interaction"
"d90_um","mdot_gas_dry","Process",0,0,0,0,"No_interaction"
"d90_um","Y_in","Process",0,0,0,0,"No_interaction"
"d90_um","T_feed","Process",-16.7659895791991,16.7659895791991,35.028704183158,2.08927149916739,"Volatile"
"d90_um","t_hold","Process",1.44874659606462,1.44874659606462,4.68582743158653,3.23440099484281,"Volatile"
"d90_um","C_monomer","Polymer",0,0,0,0,"No_interaction"
"d90_um","C_plasticizer","Polymer",0,0,0,0,"No_interaction"
"d90_um","C_binder","Polymer",17.8622370443752,17.8622370443752,56.3574725450675,3.15511838775056,"Volatile"
"d90_um","C_surfactant","Surface",-10.9027708393432,12.6922081155621,9.56986521215308,0.753995295776732,"Complex"
"d90_um","Delta_pH","Surface",0,0,0,0,"No_interaction"
"d90_um","I_strength","Surface",0,0,0,0,"No_interaction"
"d90_um","Tg_polymer","Polymer",0,0,0,0,"No_interaction"
"d90_um","n_flow","Polymer",104.341149105224,104.341149105224,233.549482013345,2.23832576137166,"Volatile"
