"template","dose","Bond_Strength","Retained_Porosity","Template_Target_Score"
"rigid",0.02,0.116539474947206,0.355679401405431,0.115140826357581
"rigid",0.0383050847457627,0.123466803147877,0.351725792561655,0.120629071193528
"rigid",0.0566101694915254,0.129820242903338,0.34777199659078,0.125410697832669
"rigid",0.0749152542372881,0.135435355161295,0.343818150653802,0.129347609080513
"rigid",0.0932203389830509,0.140237714990372,0.339864284185317,0.132393878837631
"rigid",0.111525423728814,0.144231016475621,0.335910407295835,0.134579736490405
"rigid",0.129830508474576,0.147474601321976,0.331956524394033,0.135986560188581
"rigid",0.148135593220339,0.150059408188,0.328002637709546,0.136721908997124
"rigid",0.166440677966102,0.152088079239857,0.324048748491202,0.13689988130417
"rigid",0.184745762711864,0.153661306819214,0.320094857492918,0.136628332370168
"rigid",0.203050847457627,0.15487004062841,0.316140965196785,0.136002138056124
"rigid",0.22135593220339,0.155792106274965,0.312187071925462,0.135100797522751
"rigid",0.239661016949153,0.156491658513834,0.308233177903062,0.133988685824381
"rigid",0.257966101694915,0.157020197505639,0.304279283290119,0.132716663618693
"rigid",0.276271186440678,0.157418279169923,0.300325388204653,0.131324198942845
"rigid",0.294576271186441,0.157717396306226,0.29637149273538,0.129841516863462
"rigid",0.312881355932203,0.157941753106865,0.292417596950288,0.128291538567893
"rigid",0.331186440677966,0.158109810887146,0.288463700902366,0.126691520196624
"rigid",0.349491525423729,0.158235571474497,0.284509804633532,0.125054382484772
"rigid",0.367796610169492,0.158329610060735,0.280555908177395,0.123389760581223
"rigid",0.386101694915254,0.158399888972845,0.276602011561223,0.121704817475534
"rigid",0.404406779661017,0.158452389377942,0.272648114807384,0.120004865909956
"rigid",0.42271186440678,0.158491596487327,0.268694217934403,0.118293839318783
"rigid",0.441016949152542,0.158520869393,0.264740320957771,0.116574645953391
"rigid",0.459322033898305,0.158542721398997,0.260786423890544,0.114849433797472
"rigid",0.477627118644068,0.158559031640965,0.256832526743817,0.113119787988267
"rigid",0.495932203389831,0.158571204354756,0.252878629527089,0.111386877518952
"rigid",0.514237288135593,0.158580288477789,0.248924732248548,0.109651564017244
"rigid",0.532542372881356,0.158587067314355,0.2449708349153,0.107914482271754
"rigid",0.550847457627119,0.158592125675433,0.241016937533555,0.106176099768898
"rigid",0.569152542372881,0.158595900105976,0.23706304010877,0.104436760668362
"rigid",0.587457627118644,0.15859871643447,0.233109142645776,0.102696718259507
"rigid",0.605762711864407,0.158600817830525,0.229155245148871,0.100956158901284
"rigid",0.62406779661017,0.158602385762055,0.225201347621909,0.0992152196714574
"rigid",0.642372881355932,0.158603555644513,0.221247450068363,0.0974740013726499
"rigid",0.660677966101695,0.158604428524115,0.217293552491384,0.0957325781132725
"rigid",0.678983050847458,0.158605079798816,0.213339654893855,0.0939910043630785
"rigid",0.69728813559322,0.158605565727339,0.209385757278424,0.0922493201474976
"rigid",0.715593220338983,0.158605928286865,0.205431859647549,0.0905075548707068
"rigid",0.733898305084746,0.158606198798104,0.201477962003524,0.0887657301287337
"rigid",0.752203389830509,0.158606400630376,0.19752406434851,0.0870238617788992
"rigid",0.770508474576271,0.158606551220116,0.193570166684557,0.0852819614618295
"rigid",0.788813559322034,0.158606663577022,0.189616269013627,0.0835400377205886
"rigid",0.807118644067797,0.158606747407871,0.18566237133762,0.0817980968233785
"rigid",0.82542372881356,0.158606809955052,0.181708473658383,0.0800561433681869
"rigid",0.843728813559322,0.158606856622222,0.177754575977739,0.0783141807270689
"rigid",0.862033898305085,0.158606891441123,0.173800678297497,0.0765722113725164
"rigid",0.880338983050848,0.158606917419892,0.169846780619472,0.0748302371171554
"rigid",0.89864406779661,0.158606936802938,0.165892882945504,0.0730882592897426
"rigid",0.916949152542373,0.158606951264839,0.161938985277477,0.0713462788643614
"rigid",0.935254237288136,0.158606962055021,0.157985087617333,0.0696042965552413
"rigid",0.953559322033898,0.158606970105692,0.154031189967096,0.0678623128863325
"rigid",0.971864406779661,0.158606976112384,0.150077292328897,0.0661203282423504
"rigid",0.990169491525424,0.158606980594042,0.146123394704991,0.0643783429062185
"rigid",1.00847457627119,0.158606983937854,0.142169497097791,0.0626363570865378
"rigid",1.02677966101695,0.158606986432709,0.138215599509896,0.060894370937741
"rigid",1.04508474576271,0.158606988294146,0.134261701944128,0.0591523845748885
"rigid",1.06338983050847,0.158606989682985,0.13030780440357,0.0574103980845417
"rigid",1.08169491525424,0.158606990719212,0.126353906891619,0.0556684115327702
"rigid",1.1,0.158606991492352,0.122400009412038,0.0539264249710665
"gas",0.02,0.02,8.12549276241192e-05,5.23054994264749e-05
"gas",0.0383050847457627,0.02,8.12549276241192e-05,5.23054994264749e-05
"gas",0.0566101694915254,0.02,8.12549276241192e-05,5.23054994264749e-05
"gas",0.0749152542372881,0.02,8.12549276241192e-05,5.23054994264749e-05
"gas",0.0932203389830509,0.02,8.12549276241192e-05,5.23054994264749e-05
"gas",0.111525423728814,0.02,8.12549276241192e-05,5.23054994264749e-05
"gas",0.129830508474576,0.02,8.12549276241192e-05,5.23054994264749e-05
"gas",0.148135593220339,0.02,8.12549276241192e-05,5.23054994264749e-05
"gas",0.166440677966102,0.02,8.12549276241192e-05,5.23054994264749e-05
"gas",0.184745762711864,0.02,8.12549276241192e-05,5.23054994264749e-05
"gas",0.203050847457627,0.02,8.12549276241192e-05,5.23054994264749e-05
"gas",0.22135593220339,0.02,8.12549276241192e-05,5.23054994264749e-05
"gas",0.239661016949153,0.02,8.12549276241192e-05,5.23054994264749e-05
"gas",0.257966101694915,0.02,8.12549276241192e-05,5.23054994264749e-05
"gas",0.276271186440678,0.02,8.12549276241192e-05,5.23054994264749e-05
"gas",0.294576271186441,0.02,8.12549276241192e-05,5.23054994264749e-05
"gas",0.312881355932203,0.02,8.12549276241192e-05,5.23054994264749e-05
"gas",0.331186440677966,0.02,8.12549276241192e-05,5.23054994264749e-05
"gas",0.349491525423729,0.02,8.12549276241192e-05,5.23054994264749e-05
"gas",0.367796610169492,0.02,8.12549276241192e-05,5.23054994264749e-05
"gas",0.386101694915254,0.02,8.12549276241192e-05,5.23054994264749e-05
"gas",0.404406779661017,0.02,8.12549276241192e-05,5.23054994264749e-05
"gas",0.42271186440678,0.02,8.12549276241192e-05,5.23054994264749e-05
"gas",0.441016949152542,0.02,8.12549276241192e-05,5.23054994264749e-05
"gas",0.459322033898305,0.02,8.12549276241192e-05,5.23054994264749e-05
"gas",0.477627118644068,0.02,8.12549276241192e-05,5.23054994264749e-05
"gas",0.495932203389831,0.02,8.12549276241192e-05,5.23054994264749e-05
"gas",0.514237288135593,0.02,8.12549276241192e-05,5.23054994264749e-05
"gas",0.532542372881356,0.02,8.12549276241192e-05,5.23054994264749e-05
"gas",0.550847457627119,0.02,8.12549276241192e-05,5.23054994264749e-05
"gas",0.569152542372881,0.02,8.12549276241192e-05,5.23054994264749e-05
"gas",0.587457627118644,0.02,8.12549276241192e-05,5.23054994264749e-05
"gas",0.605762711864407,0.02,8.12549276241192e-05,5.23054994264749e-05
"gas",0.62406779661017,0.02,8.12549276241192e-05,5.23054994264749e-05
"gas",0.642372881355932,0.02,8.12549276241192e-05,5.23054994264749e-05
"gas",0.660677966101695,0.02,8.12549276241192e-05,5.23054994264749e-05
"gas",0.678983050847458,0.02,8.12549276241192e-05,5.23054994264749e-05
"gas",0.69728813559322,0.02,8.12549276241192e-05,5.23054994264749e-05
"gas",0.715593220338983,0.02,8.12549276241192e-05,5.23054994264749e-05
"gas",0.733898305084746,0.02,8.12549276241192e-05,5.23054994264749e-05
"gas",0.752203389830509,0.02,8.12549276241192e-05,5.23054994264749e-05
"gas",0.770508474576271,0.02,8.12549276241192e-05,5.23054994264749e-05
"gas",0.788813559322034,0.02,8.12549276241192e-05,5.23054994264749e-05
"gas",0.807118644067797,0.02,8.12549276241192e-05,5.23054994264749e-05
"gas",0.82542372881356,0.02,8.12549276241192e-05,5.23054994264749e-05
"gas",0.843728813559322,0.02,8.12549276241192e-05,5.23054994264749e-05
"gas",0.862033898305085,0.02,8.12549276241192e-05,5.23054994264749e-05
"gas",0.880338983050848,0.02,8.12549276241192e-05,5.23054994264749e-05
"gas",0.89864406779661,0.02,8.12549276241192e-05,5.23054994264749e-05
"gas",0.916949152542373,0.02,8.12549276241192e-05,5.23054994264749e-05
"gas",0.935254237288136,0.02,8.12549276241192e-05,5.23054994264749e-05
"gas",0.953559322033898,0.02,8.12549276241192e-05,5.23054994264749e-05
"gas",0.971864406779661,0.02,8.12549276241192e-05,5.23054994264749e-05
"gas",0.990169491525424,0.02,8.12549276241192e-05,5.23054994264749e-05
"gas",1.00847457627119,0.02,8.12549276241192e-05,5.23054994264749e-05
"gas",1.02677966101695,0.02,8.12549276241192e-05,5.23054994264749e-05
"gas",1.04508474576271,0.02,8.12549276241192e-05,5.23054994264749e-05
"gas",1.06338983050847,0.02,8.12549276241192e-05,5.23054994264749e-05
"gas",1.08169491525424,0.02,8.12549276241192e-05,5.23054994264749e-05
"gas",1.1,0.02,8.12549276241192e-05,5.23054994264749e-05
"surface_weld",0.02,0.0395850861250393,0.359940198679387,0.039578571019653
"surface_weld",0.0383050847457627,0.0741541609898115,0.359940198472302,0.074141873863993
"surface_weld",0.0566101694915254,0.105859407470899,0.359940198226008,0.105841843349674
"surface_weld",0.0749152542372881,0.13388021951633,0.359940197928205,0.133857995543977
"surface_weld",0.0932203389830509,0.157845195196513,0.359940197560847,0.157818987158737
"surface_weld",0.111525423728814,0.177772767996769,0.359940197096346,0.177743247555708
"surface_weld",0.129830508474576,0.193959067513034,0.359940196490298,0.193926856655882
"surface_weld",0.148135593220339,0.206857900247343,0.359940195666372,0.20682354529728
"surface_weld",0.166440677966102,0.216981476215203,0.359940194481328,0.216945438185859
"surface_weld",0.184745762711864,0.224832275356693,0.359940192631125,0.224794931511801
"surface_weld",0.203050847457627,0.230864159421498,0.359940189337254,0.230825811061994
"surface_weld",0.22135593220339,0.235465497651334,0.359940181829114,0.235426379680079
"surface_weld",0.239661016949153,0.23895643831788,0.359940147659214,0.238916717435377
"surface_weld",0.257966101694915,0.24159398010355,0.354036367505606,0.237591827040615
"surface_weld",0.276271186440678,0.243580507191076,0.340334822013762,0.230274809166727
"surface_weld",0.294576271186441,0.245073176527732,0.326632871101228,0.222358217137025
"surface_weld",0.312881355932203,0.246192773087749,0.312930868807203,0.214003670658043
"surface_weld",0.331186440677966,0.247031423452597,0.299228849886046,0.205330366600187
"surface_weld",0.349491525423729,0.247659000243748,0.28552682352313,0.196425808662216
"surface_weld",0.367796610169492,0.248128276313799,0.271824793201213,0.187353947479501
"surface_weld",0.386101694915254,0.248478985666248,0.258122760535695,0.178161349088268
"surface_weld",0.404406779661017,0.248740975821226,0.244420726382255,0.168881817326519
"surface_weld",0.42271186440678,0.248936629105145,0.23071869124056,0.159539827331551
"surface_weld",0.441016949152542,0.249082708227397,0.217016655426367,0.150153058885892
"surface_weld",0.459322033898305,0.249191755203848,0.20331461915398,0.140734255981133
"surface_weld",0.477627118644068,0.249273147391458,0.1896125825798,0.131292586287739
"surface_weld",0.495932203389831,0.249333892278418,0.175910545827676,0.121834631795093
"surface_weld",0.514237288135593,0.249379224324845,0.162208509005547,0.112365108751017
"surface_weld",0.532542372881356,0.249413052415114,0.148506472218421,0.102887389676682
"surface_weld",0.550847457627119,0.2494382949023,0.134804435581126,0.0934038811096456
