time,cond,up1_vtip,up1_feed_solid%,up3_drum_rpm,up3_scroll_rpm,up3_drum_hz,up3_Fg,up3_scroll_diff,up3_solid%,up3_rho,up1_exit_temp,up1_scfh,up1_psig,up1_feed_lbhr,up1feed_rho,up2_h2o_lbhr,up2_psig,up4_pump_inlet_psig,max_up4atom_psig,up4_Tin,up4_Tout,up4atom_scfm,d10,d20,d30,d40,d50,d60,d70,d80,d90,d99
2022-12-02 16:25:00,up3_1,16.43952124530408,25,1754,1254,26.02373887240356,429.9855039370079,20,40.699999999999996,1117.30058759368,54.86254308332751,2.0029660970610452,6.1762985710808795,249.8408453469304,1117.8551466209185,49.2667460078381,3.8436210977817455,5.515406311985689,9.051129149231217,143.05950015585958,89.55836832824582,42.0466592834155,5.63,6.8,7.84,8.94,10.2,11.78,13.95,17.37,24.51,60.36
2022-12-07 11:43:00,up3_2,18.120530314065213,25,2106,1169,31.24629080118694,619.8853464566929,37.48,42.67,,69.18785390518528,1.703906537007371,7.815980505200661,210.49802667261454,1119.134818548516,44.43518035595727,5.475139064500195,6.816630062024695,5.716412709585457,143.24550079985025,89.57745673760463,42.631066545074766,5.47,6.43,7.21,7.95,8.72,9.58,10.65,12.19,15.04,29.54
2022-12-07 14:49:00,up3_3,18.108556658942508,25,1687,858,25.029673590504448,397.76338385826773,33.16,40.61,,69.78375554950624,1.6848634501351447,8.746067187633413,210.71118390043938,1119.1426495276828,43.19046125987094,6.363399786972188,6.821196379106274,7.2893810221016775,143.15324319939018,89.84332978420368,42.446493159999214,5.48,6.54,7.4,8.21,9.07,10.04,11.24,12.95,16.2,34.12
2022-12-07 17:40:00,up3_4,19.27912568472651,25,1687,858,25.029673590504448,397.76338385826773,33.16,38.769999999999996,,72.69746281798116,1.691748404308809,7.219743511024566,209.7389322170647,1119.1364610310998,41.59117947795383,4.862544634135243,6.805123076875033,10.956673315364013,143.37329390211156,89.869115447648,56.10536527233737,5.39,6.37,7.15,7.9,8.67,9.53,10.59,12.11,14.9,29.26
